,auction_house_name,auction_location,auction_num,auction_start_date,auction_end_date,auction_name,lot_num,price_estimate_min,price_estimate_max,price_sold,artist_name,artist_birth,artist_death,artist_nationality,artwork_name,artwork_materials,artwork_markings,artwork_measurements_height,artwork_measurements_width,artwork_measurements_depth,artwork_size_notes,auction_measureunit,artwork_images1,artwork_images2,artwork_images3,artwork_images4,artwork_images5,lot_origin_url
13,BONHAMS,"Skinner Marlborough, Massachusetts",28352,2023-01-25,2023-01-26,American Art  Bonhams Skinner,14,7000,9000,16575.0,John Joseph Enneking ,1841,1916,American,"Early Autumn, Neponset River, Hyde Park, alternately titled The Summer House on the Neponset River ",oil on canvas,"signed and dated 'Enneking 88' (lower right), titled ""Early Autumn...' faintly (on the stretcher)",,,,19 x 28 in. (48.0 x 71.0 cm)framed 26 x 35 in.,,https://images2.bonhams.com/image?src=Images/live/2022-12/05/185556-11-3.jpg,,,,,https://www.bonhams.com/auctions/28352/lot/1/
14,BONHAMS,"Skinner Marlborough, Massachusetts",28352,2023-01-25,2023-01-26,American Art  Bonhams Skinner,15,2500,3500,3187.5,Bruce Crane ,1857,1937,American,Autumn Fields ,oil on canvas,signed 'BRUCE CRANE/N.A.' (lower right),16,20,,16 x 20 in. (40.5 x 51.0 cm)framed 25 5/8 x 29 5/8 in.,in.,https://images2.bonhams.com/image?src=Images/live/2022-12/05/185556-11-3.jpg,,,,,https://www.bonhams.com/auctions/28352/lot/1/
15,BONHAMS,"Skinner Marlborough, Massachusetts",28352,2023-01-25,2023-01-26,American Art  Bonhams Skinner,16,4000,6000,6375.0,Anthony Thieme ,1888,1954,American,Autumn Scene with Cows by the Banks of a Stream ,,"signed 'AThieme' (lower left), numbered '564' and with unrelated titles crossed out (on the reverse)",Autumn Scene,Cows by,,30 x 24 in. (76.5 x 63.5 cm)framed 36 x 31 in.,the,https://images2.bonhams.com/image?src=Images/live/2022-12/05/185556-11-3.jpg,,,,,https://www.bonhams.com/auctions/28352/lot/1/
16,BONHAMS,"Skinner Marlborough, Massachusetts",28352,2023-01-25,2023-01-26,American Art  Bonhams Skinner,17,1000,1500,4080.0,Joseph Eliot Enneking ,1881,1942,American,A Gloucester Homestead ,oil on canvas,"signed 'J. Eliot Enneking' (lower right), titled in pencil (on the top bar of the stretcher)",,,,20 x 24 in. (51.0 x 61.3 cm)period frame 23 1/2 x 27 1/4 in.,,https://images2.bonhams.com/image?src=Images/live/2022-12/05/185556-11-3.jpg,,,,,https://www.bonhams.com/auctions/28352/lot/1/
17,BONHAMS,"Skinner Marlborough, Massachusetts",28352,2023-01-25,2023-01-26,American Art  Bonhams Skinner,18,2500,3500,1912.5,Frank Vining Smith ,1879,1967,American,"Shore Acres (Chatham, Massachusetts) ",oil on canvas,"signed 'Frank Vining Smith' (lower right), signed, dated, and titled 'Frank Vining Smith 1924/...' (on the stretcher), inscribed 'To Kay and Ted/from Frank + Nell/1927' (on the reverse), with a label from William Vareika Fine Arts, Newport, Rhode Island (affixed to the frame backing)",,,,22 x 26 in. (55.9 x 66.0 cm)framed 30 1/4 x 34 1/2 in.,,https://images2.bonhams.com/image?src=Images/live/2022-12/05/185556-11-3.jpg,,,,,https://www.bonhams.com/auctions/28352/lot/1/
18,BONHAMS,"Skinner Marlborough, Massachusetts",28352,2023-01-25,2023-01-26,American Art  Bonhams Skinner,19,2500,3500,5100.0,Joseph Eliot Enneking ,1881,1942,American,View of a Church Across the River ,oil on canvas,signed 'J. Eliot Enneking' (lower left),25,30,,25 x 30 in. (63.5 x 76.2 cm)framed 28 1/2 x 33 1/2 in.,in.,https://images2.bonhams.com/image?src=Images/live/2022-12/05/185556-11-3.jpg,,,,,https://www.bonhams.com/auctions/28352/lot/1/
19,BONHAMS,"Skinner Marlborough, Massachusetts",28352,2023-01-25,2023-01-26,American Art  Bonhams Skinner,20,1800,2200,2040.0,Mina Fonda Ochtman ,1862,1924,American,Morning Forest ,oil on canvas,signed 'Mina Fonda Ochtman' (lower left),24,30,,24 x 30 in. (61.0 x 76.2 cm)framed 29 1/4 x 35 1/4 in.,in.,https://images2.bonhams.com/image?src=Images/live/2022-12/05/185556-11-3.jpg,,,,,https://www.bonhams.com/auctions/28352/lot/1/
20,BONHAMS,"Skinner Marlborough, Massachusetts",28352,2023-01-25,2023-01-26,American Art  Bonhams Skinner,21,1500,2000,1657.5,Leonard Ochtman ,1854,1935,American,The Spirit of Fontainebleau ,oil on canvas,"signed 'LEONARD OCHTMAN' (lower left), titled in pencil (on the stretcher),   identified on a fragmentary label from Grand Central Art Galleries, New York (affixed to the stretcher)",,,,24 x 30 in. (61.0 x 76.2 cm)unframed,,https://images2.bonhams.com/image?src=Images/live/2022-12/05/185556-11-3.jpg,,,,,https://www.bonhams.com/auctions/28352/lot/1/
21,BONHAMS,"Skinner Marlborough, Massachusetts",28352,2023-01-25,2023-01-26,American Art  Bonhams Skinner,22,350,550,357.0,Frederick Mortimer Lamb ,1861,1936,American,Birches Near a Forest Pool,oil on pressed paperboard ,signed '.F.M.LAMB' (lower left),18,22,,18 x 22 in. (46.0 x 55.5 cm)unframed,in.,https://images2.bonhams.com/image?src=Images/live/2022-12/05/185556-11-3.jpg,,,,,https://www.bonhams.com/auctions/28352/lot/1/
22,BONHAMS,"Skinner Marlborough, Massachusetts",28352,2023-01-25,2023-01-26,American Art  Bonhams Skinner,23,500,700,318.75,Arthur Clifton Goodwin ,1864,1929,American,"Road to the Farm, Autumn",pastel on paper ,no visible signature,,,,sight size 19 x 21 1/4 in. (48.3 x 54.0 cm)framed 29 x 30 3/4 in.,,https://images2.bonhams.com/image?src=Images/live/2022-12/05/185556-11-3.jpg,,,,,https://www.bonhams.com/auctions/28352/lot/1/
